run_prefix,run_id,benchmark,variant,metric,units,sample_index,total_avg,total_max,source_log
slurm-5076215,slurm-5076215-multi,multi,none,Young Phase: Concurrent Mark Free,ms,1,0.001,0.003,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Phase: Concurrent Relocate,ms,1,7.258,72.227,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Phase: Concurrent Reset Relocation Set,ms,1,0.018,0.182,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Phase: Concurrent Select Relocation Set,ms,1,7.026,61.904,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Mark Follow,ms,1,71.337,677.807,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Mark Root Colored,ms,1,0.331,0.905,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Mark Root Uncolored,ms,1,0.307,0.41,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Mark Roots,ms,1,0.665,1.341,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Relocate Remset FP,ms,1,6.752,67.422,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Roots ClassLoaderDataGraph,ms,1,0.228,0.489,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Roots CodeCache,ms,1,0.28,0.364,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Roots JavaThreads,ms,1,0.014,0.121,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Roots OopStorageSet,ms,1,0.012,0.127,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Weak Roots OopStorageSet,ms,1,0.09,0.357,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Contention: Mark Segment Reset Contention,ops/s,1,5.0,38.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Contention: Mark SeqNum Reset Contention,ops/s,1,0.0,6.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: Allocation Stall,ops/s,1,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: Allocation Stall,ops/s,2,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: JNI Critical Stall,ops/s,1,0.0,0.0,run_multi_none_run11_slurm-5076215-multi.log
