run_prefix,run_id,benchmark,variant,timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,source_log
slurm-5076215,slurm-5076215-multi,multi,none,1776993885856,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993886215,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993886565,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993886892,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993887232,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993887563,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993887911,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993888264,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993888611,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993888954,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993889296,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993889628,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993889975,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993890304,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993890669,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993891016,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993891343,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993891688,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993892010,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993892339,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993892675,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993893045,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993893397,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
